Site,M2,M3,M4,M5,M6
Date,07 May 19:00,07 May 19:00,07 May 19:00,07 May 19:00,07 May 19:00
Meteorological,,,,,
Atm. Pressure (mb),1026.343,1026.611,1025.427,1026.941,1019.580
Wind Speed (kn),1.138,3.871,6.603,9.108,19.240
Max Gust (kn),1.708,5.465,10.246,11.271,25.730
Wind Direction (째),143.000,215.000,113.000,239.000,165.000
Air Temp. (째C),11.533,12.803,11.240,12.510,12.119
Relative Humidity (%),78.125,80.078,70.313,81.738,92.773
Oceanographic,,,,,
Sig. Wave Height (m),0.352,1.289,1.406,0.703,1.758
Wave Period (s),3.867,7.266,6.563,5.391,4.922
Max Wave Height (m),0.469,2.188,2.344,1.094,2.813
Max Wave Period (s),4.805,9.141,9.023,7.266,5.391
Mean Direction (째),63.000,294.000,294.000,211.000,184.000
Sea Temp. (째C),10.432,12.647,11.887,12.495,12.030
Salinity,34.360,35.030,35.149,,35.591
